advertising_id,recency,frequency,monetary
5dfb25cb-40e6-460b-9ade-9292986c69dd,1,64,
f82d92fa-d137-4f8f-8bf5-52a96852c1f1,1,45,
b3cc3e10-26e1-4c03-b133-e954dcf64feb,1,45,
d345b723-b71f-444d-bde6-5329d1f6c7aa,1,32,
a57351e8-aa07-46de-9cd0-739f4c3e9346,1,342,
f34e3f84-ad6c-41e0-ba1a-de96e4e350d6,1,56,
89fb2b79-95ea-4275-9adb-10bba089cfa8,1,30,
5725ddfd-2348-4bef-842d-9aaa043c9154,1,29,
ddc7d0db-8ff7-48af-8e3b-63c207168b51,1,36,
67b19732-b118-484e-a2a5-42179d5d2adf,1,27,
2c74b6cb-4ac3-4d49-a725-79c0821da76e,1,26,
9e390140-5b82-43e5-a986-399875602244,1,30,
d7d186e8-b743-4a9e-8090-8d83f81e814a,1,44,
4d0c78f6-92ed-4075-bbcd-4db1ae02f651,1,27,
97f63a43-ab8e-4d42-a90f-0572e7c42981,1,39,
7d20381d-58ce-43b6-a1cc-a4f3bcf5ba64,1,33,
e8e766f7-a483-4c82-a170-d971cbd53a0c,1,30,
619c989b-6739-4c09-b041-d688d6087a61,1,31,
0586af7e-913b-46ec-aadc-93a8a02020ff,1,25,
a29f756c-98fb-4c3d-a60d-15b3f7097baf,1,29,
1cfd84a5-977b-44fb-b680-3886afed3a30,1,28,
5ec9cd78-d1b8-4107-819b-c3f098c6ba13,1,32,
00750eff-1bd9-4fd0-8b90-c4bc9f083d55,1,23,
6abdbfc8-779a-48f6-99da-e0860b34ef06,1,67,
fe73df43-8886-4bd3-a73e-36eb1808cd0e,1,32,
4abb2a6d-2fa3-4e7c-8837-e2c72920622b,1,27,
82c9df04-d651-4cef-9fc7-9f1acb4274af,1,39,
57033a26-7aab-4c3a-a583-3b3cb8f00761,1,28,
b0a9bae9-1c08-44f3-83e1-7ff55b8ef6ac,1,25,
2c376538-6c94-4406-81e9-b3e40241816b,1,58,
16e77438-c18a-4eb9-9d4e-928265ebef38,1,26,
aa1ea0a7-2d1f-47a4-8ea7-4b4d696870a3,1,33,
27d5fea5-b06a-4e93-9e8d-b42e6cc8c19a,1,43,
1c5603dd-073e-45bb-bd49-ce8a20c60a72,1,32,
17047a69-0dc8-4c87-95db-03b3d9edbe68,1,59,
c64a6041-9cab-407d-b910-5cd7cc7aaaa3,1,40,
cdd47fb1-0f45-446f-9a0d-3dd146e3781d,1,51,
b50b46f7-dbdd-495f-be51-94bb16ffb74a,1,29,
68ca87a0-47a8-4a47-a0ab-7754c5eaa880,1,23,
bc15c54f-8cb6-449d-ae87-05ee74615e74,1,32,
