project,country,install_date,user_count,buyer,dau,rev,LTV1,LTV3,LTV7
SK,Philippines,2020-04-23,324,0,508,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-09,93,0,178,0.0,0.0,0.0,0.0
SK,United States,2020-04-26,1,0,8,0.0,0.0,0.0,0.0
SK,Vietnam,2020-03-29,46,1,99,98.074751,0.0,0.0,0.0
SK,Kazakhstan,2020-05-08,2,0,5,0.0,0.0,0.0,0.0
SK,India,2020-05-21,9,0,11,0.0,0.0,0.0,0.0
SK,India,2020-05-24,16,0,19,0.0,0.0,0.0,0.0
SK,Tunisia,2020-05-16,2,0,2,0.0,0.0,0.0,0.0
SK,Bosnia & Herzegovina,2020-05-10,1,0,1,0.0,0.0,0.0,0.0
SK,China,2020-05-14,39,0,47,0.0,0.0,0.0,0.0
SK,Turkey,2020-05-19,2,0,3,0.0,0.0,0.0,0.0
SK,Spain,2020-05-13,2,0,2,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-03,55,0,106,0.0,0.0,0.0,0.0
SK,Algeria,2020-05-07,1,0,3,0.0,0.0,0.0,0.0
SK,South Korea,2020-05-12,3,0,4,0.0,0.0,0.0,0.0
SK,Ireland,2020-04-18,2,0,2,0.0,0.0,0.0,0.0
SK,Thailand,2020-03-21,52,0,71,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-19,28,0,63,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-11,47,0,175,0.0,0.0,0.0,0.0
SK,Mauritania,2020-05-22,1,0,1,0.0,0.0,0.0,0.0
SK,Estonia,2020-05-07,1,0,1,0.0,0.0,0.0,0.0
SK,Philippines,2020-05-19,2,0,71,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-08,10,0,186,0.0,0.0,0.0,0.0
SK,Egypt,2020-05-12,2,0,2,0.0,0.0,0.0,0.0
SK,Mexico,2020-05-22,1,0,1,0.0,0.0,0.0,0.0
SK,China,2020-05-10,112,0,140,0.0,0.0,0.0,0.0
SK,Russia,2020-05-13,50,0,65,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-07,126,1,204,24.692573000000003,0.0,0.0,0.0
SK,United States,2020-04-07,6,0,14,0.0,0.0,0.0,0.0
SK,United States,2020-04-22,2,0,12,0.0,0.0,0.0,0.0
SK,Laos,2020-03-22,2,0,2,0.0,0.0,0.0,0.0
