Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,a7y17lte,2020-05-11T22:36:22Z,1589236582740,2020-05-11T22:36:22Z,1589236582740,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,pokerp,2020-05-11T22:47:01Z,1589237221637,2020-05-11T22:47:01Z,1589237221637,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,mcv3,2020-05-12T00:24:30Z,1589243070472,2020-05-12T00:24:30Z,1589243070472,5,,"Gostei da animação e os personagens, por hora ta nota 10",2020-05-12T02:05:30Z,1589249130150,Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/. We would love to hear from you!,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOFTj4Fkswxch1m4AZWrzp_cF5OAPHBup97TdNif7Q5nt9kjgXLRh9zIWIWM1QzHMu-jp0vLxV3ahyoBtg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,laurel_sprout,2020-05-12T00:31:57Z,1589243517678,2020-05-12T00:31:57Z,1589243517678,4,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,starqltechn,2020-05-12T00:49:19Z,1589244559721,2020-05-12T00:49:19Z,1589244559721,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,lima,2020-05-12T02:03:12Z,1589248992476,2020-05-12T02:03:12Z,1589248992476,4,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,deen_sprout,2020-05-12T02:09:22Z,1589249362411,2020-05-12T02:09:22Z,1589249362411,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,whyred,2020-05-12T04:04:35Z,1589256275788,2020-05-12T04:04:35Z,1589256275788,5,,"Finalmente um jogo que agrade, a tempos não saia um jogo bom e divertido como esse, acho que esperei uns 8 prés-registros até chegar em um bom. Tanto a mecânica quanto a jogabilidade são muito boa. Meus parabéns ao criador!",2020-05-12T04:06:58Z,1589256418755,Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/. We would love to hear from you!,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOGK7ZMZm5gnMdNOAU3OvpoLDjYUiqo_s4CP3Afhv3bVuXqLITvVxqnNPLmLWQSmHwc4PtIZ4mc92tK-0g
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,dreamqlteue,2020-05-12T08:59:50Z,1589273990498,2020-05-12T08:59:50Z,1589273990498,5,,"Achei que seria só mais um jogo no estilo Shadow, porém me surpreendeu, è muito bem feito e otimizado. Sem dúvidas merece nota 10",2020-05-12T11:16:22Z,1589282182518,Hello! Thank you for your feedback. We're very happy to know that you're enjoying Shadow Knight! Please follow us on the fanpage for events and news - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOHWMkHKEoE3kLM18Dtaa40QpubvNC0uuKSNO9Kppo58mWCk5NM8EVOZ0AmoxWziA0R04c_7i-NQG2eDCg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,mlv7,2020-05-12T09:39:36Z,1589276376026,2020-05-12T09:39:36Z,1589276376026,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,m20lte,2020-05-12T12:14:14Z,1589285654718,2020-05-12T12:14:14Z,1589285654718,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,,,pt,ASUS_Z01KD_3,2020-05-12T12:33:48Z,1589286828785,2020-05-12T12:33:48Z,1589286828785,1,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,a10,2020-05-12T12:45:38Z,1589287538543,2020-05-12T12:45:38Z,1589287538543,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,evert_nt,2020-05-12T13:26:53Z,1589290013472,2020-05-12T13:26:53Z,1589290013472,5,,"É muito bom, jogabilidade e gráficos ótimos.",2020-05-13T02:18:23Z,1589336303757,Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/. We would love to hear from you!,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOGQejyxwPbEdTyNymOgTI7tvoLL2yupKV_KPyb5MaHIHFS27ytJuqtcsRK3L8hHsuNoLKCA8nXGwjNm8w
com.fansipan.stickman.fight.shadow.knights,,,pt,ginkgo,2020-05-12T14:27:07Z,1589293627674,2020-05-12T14:27:07Z,1589293627674,3,,Gráficos bons e jogabilidade com MT ação mass jogo em si fraco não me prendeu,2020-05-13T01:56:37Z,1589334997301,"Sorry, we don't understand what you mean. Can you describe it more clearly? Or you could contact us at Shadow Knight fanpage Https://www.facebook.com/shadow.knight.rpg/ We will do our best to help you.",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOEOrMRNBDDqa5N_ONBWNROcHYlrE5YYTu5oWg60K3I8nB-48WOPgQ3LJi0fpHkiD_AatorRYjmr1uNX3w
com.fansipan.stickman.fight.shadow.knights,,,pt,bali,2020-05-12T15:16:58Z,1589296618934,2020-05-12T15:16:58Z,1589296618934,5,,Muito daora e legal esse jogo,2020-05-13T02:18:11Z,1589336291942,Hello! Thank you for your feedback. We're very happy to know that you're enjoying Shadow Knight! Please follow us on the fanpage for events and news - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOHLjp1hf9EdjSYw2zN60cubJxLkl_pyvKtan5uUGeq8MNB826xRhyy9afhiBGVdfY_QJKmSa2k7-roXDg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,kane_sprout,2020-05-12T16:12:32Z,1589299952082,2020-05-12T16:12:32Z,1589299952082,4,,👍👍👍👍👍👍,2020-05-13T02:07:03Z,1589335623164,Hello! Thank you for your vote! We are trying our best to complete the game. We look forward to receiving a higher rating for next time.,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOFyl4_Me7EKdNaeMRh6-uhEHBPK6K21DB3Q-VJnHqzNUt0D0pa954uQ24KZUPRQay0_92ClXfiXvJNXlg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,river,2020-05-12T17:47:02Z,1589305622516,2020-05-12T17:47:02Z,1589305622516,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,mmh4,2020-05-12T07:27:25Z,1589268445907,2020-05-12T18:31:56Z,1589308316912,5,,Muito bom,2020-05-12T07:29:09Z,1589268549984,Greeting! Thank you for your words. Hope you have a great time with Shadow Knight! Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOHMGbiwKT0BYND4eLhNXSvJu6w5q9HJiu8HG3C4gRfklL5_ifSMnO56f_9lKJRH1FUNKtSjHZSrTzbCnQ
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,herolte,2020-05-12T18:47:23Z,1589309243606,2020-05-12T18:47:23Z,1589309243606,5,,"Ótimo jogo, muito bem produzido. Parabéns à desenvolvedora",2020-05-13T02:17:55Z,1589336275710,Thank you for your feedback and interest in our game. Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOFJpDI7kTDcSzdvrdEzvpe2l3eSANh7KoNdXz3SAvI54cIxp_rePnr13OVCIfXfzH_ZScGwUAm-HK2vTg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,montana,2020-05-11T21:21:37Z,1589232097126,2020-05-12T22:05:06Z,1589321106351,5,,"Divertido. Bem limitado ainda, mas para lançado agora está ótimo.",2020-05-12T02:33:17Z,1589250797519,"Hello Dennis, thank you for 5-star review! we are happy to know you are enjoying the game. If there are any issues or questions, please reach out Shadow Knight facebook fanpage: Https://www.facebook.com/shadow.knight.rpg/ We will do our best to help you.",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOE1s-z3NBUatvF4ITa52Pkq4hgw59Yb0H8Njx_L3dB37pKArgMMtdUXGBxxRJJW-Bgm56APj_-5tJYt6Q
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,mcv3,2020-05-12T23:07:33Z,1589324853542,2020-05-12T23:07:33Z,1589324853542,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,rav,2020-05-13T01:08:03Z,1589332083916,2020-05-13T01:08:03Z,1589332083916,5,,Gostei bastante do jogo!! Não vejo a hora de lançarem os outros heróis!,2020-05-13T01:45:08Z,1589334308330,"Hello Alves, we will soon release the new character in the future, be sure to keep an eye on our Facebook Fanpage for events and news. Here is the page: https://www.facebook.com/shadow.knight.rpg/",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOGln-8LnrmT6MMbCVI3o3bOhsV_bhtuQ9IdSwjLFHjavyK6QSG_RyjFQyuWq3UAYIloJnV0syZkIXjOtg
com.fansipan.stickman.fight.shadow.knights,,,pt,on7xelte,2020-05-13T01:31:52Z,1589333512018,2020-05-13T01:31:52Z,1589333512018,1,,,,,,
